20,1.30102999566398,5.36E-01,4.62E-01,6.72E-01
12.792,1.10693845073818,5.62E-01,4.83E-01,7.04E-01
8.1769,0.912588686548272,5.89E-01,5.40E-01,7.86E-01
8.1769,0.912588686548272,6.12E-01,5.08E-01,8.08E-01
5.231,0.718584720027436,6.54E-01,5.71E-01,8.69E-01
3.3449,0.524383138517183,7.36E-01,6.16E-01,9.62E-01
2.1384,0.330088945748481,8.27E-01,5.69E-01,1.0735
1.3682,0.136149586088531,9.22E-01,6.56E-01,1.1681
8.74E-01,-0.0584190063148843,9.92E-01,6.90E-01,1.3378
5.59E-01,-0.252611500135188,1.0545,7.84E-01,1.4973
3.58E-01,-0.446432497346015,1.0865,7.96E-01,1.7112
2.29E-01,-0.640543979879013,1.108,9.22E-01,2.0102
1.46E-01,-0.834369937623816,1.1055,1.0105,2.3325
9.33E-02,-1.03001130864271,1.1227,1.1869,2.7227
5.97E-02,-1.2238292986828,1.1321,1.2681,3.0927
3.82E-02,-1.4183688727991,1.1284,1.4359,3.4644
2.46E-02,-1.60952414606218,1.1547,1.5096,3.8165
1.57E-02,-1.80340934588269,1.1394,1.6316,4.0614
9.94E-03,-2.00273596931019,1.1532,1.6559,4.1864
